use#v#1161188,использовать
consolation#n#1214157,
affinity#n#4695997,
way#n#13306996,путь
foot_rule#n#3385493,
tortuosity#n#13908063,извилистость
scarf#v#50777,
stabilizer#n#4301350,стабилизатор
wage_freeze#n#811034,
concert_grand#n#3090499,фортепиано
color_property#n#4982235,
nod#v#900197,кивать
evacuee#n#10086431,
convulse#v#1391467,
piranha#n#2587080,пираньевые
negative_reinforcing_stimulus#n#5837336,
frightfulness#n#4789730,страх
declarative#a#690167,
woolly_alder_aphid#n#2256898,
tetrahymena#n#1398963,tetrahymena
Mohican#n#9681578,Могикане
transom#n#4480196,
yodh#n#6850729,
bargain_hunter#n#9858731,
cool#v#370517,
development#n#14446275,
knight#n#3629976,рыцарь
detective_story#n#6382608,детектив
Gray#n#11032842,Серый цвет
assimilation#n#13455861,ассимиляция
echelon#n#8289273,echelon
anhidrosis#n#14047275,ангидроз
commonalty#n#8198848,
Druid#n#10056169,Друиды
hagiography#n#6528233,агиография
natural_glass#n#14903756,
Matteuccia#n#13218698,Страусник обыкновенный
fishing_license#n#6562372,
bastinado#v#1402575,
moor#v#1308021,
run_down#v#2072151,
sales_finance_company#n#8438601,
hair_space#n#3481966,пробел
spud#v#1446109,
tactile_property#n#4953730,
genus_Discina#n#13057352,
soup_bowl#n#4270367,
blockage#n#1076618,
scriptorium#n#4162950,скрипторий
polyvinyl_chloride#n#14619583,поливинилхлорид
colorcast#n#6633297,
consanguinity#n#13835803,
phytotherapy#n#701674,фитотерапия
ectopia#n#5088867,
nicotine_addiction#n#14088725,никотин
bicycle_seat#n#2839120,
method_of_choice#n#5669139,
union#n#8321825,объединение
go_down#v#2739681,
castle#n#2983900,замок (строение)
cabinetmaking#n#618841,шкаф
frequentative#n#6484712,
homologous#a#1223311,
Halchidhoma#n#9675596,
ostracism#n#208283,остракизм
Megapodiidae#n#1803400,Большеноги
interest#n#5690773,процентный доход
intractability#n#4914446,
trailer_camp#n#4474741,
slick#n#4244760,слик
drain#v#452603,
rock_crystal#n#14718454,кварц
tombola#n#505855,
promisee#n#10501514,
heavy_metal#n#7079189,тяжёлый металл
take_a_joke#v#671548,
miscast#v#1714932,
wheel_and_axle#n#4583110,ворот
minimalist#a#2775321,
actual_damages#n#13312379,санкции в хозяйственных отношениях
transformation#n#399512,трансформация
cardholder#n#9913368,
poll#v#2460257,
crop#v#1556543,
clinch#v#1347585,
heat_flash#n#7427476,
Ceratopogonidae#n#2205161,Мокрецы
mechanical_phenomenon#n#11501098,
lance#v#2089405,
pain_unit#n#13629116,
double_dagger#n#6841712,типографский крестик
get_off#v#2019914,
xanthosis#n#14257456,
bolt#v#1205271,
upside-down_cake#n#7649750,
book#n#7970797,книга
silver_medal#n#4227590,
hookup#n#3538834,
blank_check#n#13404869,
common_dogbane#n#11788099,
sneezer#n#10636094,
hypotensive#n#10215561,артериальная гипотензия
rhizomatous_begonia#n#12381334,
cheque#v#2316240,
instruction_book#n#6424773,
home_study#n#892904,
rehouse#v#2464955,
nationalism#n#5973889,национализм
pottage#n#7602682,
death#n#220442,смерть
bumboat#n#2921839,
side#n#8527687,сиде
seductress#n#10594831,соблазнение
calendar#n#8283770,календарь
fart#v#101383,
dendrobium#n#12079815,дендробиум
Miwok#n#9681102,Мивоки
shrive#v#905665,
coup_de_theatre#n#7020560,
sheathe#v#1581563,
necrotizing_enterocolitis#n#14160350,
literature#n#611860,литература
spin_dryer#n#4284964,сушильная машина
reticular_activating_system#n#5510026,
salami#n#7693492,салями
recall#n#6817246,
incline#v#1776093,
cattle_car#n#2989521,
glasses_case#n#3443787,
strike_a_blow#v#137611,
kern#n#3616382,керн
flatfoot#n#5584052,плоскостопие
spinal_anesthetic#n#4284342,спинальная анестезия
lumbermill#n#3702341,лесопилка
keep_away#v#2456144,
yang#n#5923950,
Franciscan#n#10798221,Францисканцы
Italian#n#9735443,
den_mother#n#10023237,
stripper#n#15086117,
beading#n#2818372,бисероплетение
bath_mat#n#2810586,половик
belly_laugh#n#6791764,
endowment#n#13292343,
top_lift#n#4462440,
paper_tiger#n#5214620,
vinyl#n#15112875,винил (радикал)
bench#n#8226440,
county_seat#n#8564718,окружной центр (сша)
coxswain#n#9993154,
rip#n#7419184,
interlocutor#n#10230581,
tax_assessor#n#10712379,
onomasticon#n#6432216,
inflection#n#7381571,словоизменение
address#n#6807073,адрес
come_up#v#1630816,
abrasiveness#n#4787389,
prove#v#667548,доказать
remake#v#1622744,
Waikiki#n#9101519,Вайкики
Sphaerocarpales#n#11564582,
treadmill#n#4484454,беговая дорожка (спортивный тренажёр)
hardtack#n#15125137,
compartmentalization#n#14440550,
purpose#v#701392,
block_diagram#n#2857250,структурная схема
unlikelihood#n#4766031,
solution#n#8022396,раствор
crenel#v#2340625,
willow#n#4592080,ива
bagasse#n#14796478,
boost#n#1213509,
commonwealth#n#8392081,
informality#n#4919229,
record#n#13424816,рекорд
lodge#v#2657519,нанять
Blastocladiales#n#12999141,
lineup#n#8448162,
unoriginality#n#4808417,
midterm#n#15250464,
sustenance#n#1218681,
scrawniness#n#4738225,
eagle#v#1601558,
hand_fern#n#13231918,
Brythonic#n#6974139,
pull#v#1409713,притягивать,тянуть
affiant#n#9795702,
ring_girl#n#10551251,
file_allocation_table#n#8284118,fat
genus_Veronica#n#12910769,
concentration#n#7428499,концентрация растворов
investigation#n#635107,расследование
seed#v#2222328,
fall_back#v#2043160,
run#n#7457610,
north_northeast#n#13853771,румб
blanc#n#7852576,блан
splicer#n#10656758,
1820s#n#15173918,1820-е годы
replication#n#1251607,репликация
eternal_life#n#13980676,
gravidity#n#14070343,
hanging_chad#n#14929107,
hospice#n#698502,хоспис
procaine_hydrochloride#n#4013329,прокаин
gravitation#n#7377430,гравитация
Syracuse#n#1298618,Сиракузы
narcoterrorism#n#765789,
plant_cell#n#11550600,растительные клетки
indent#v#1749185,
suppressant#n#4368616,
point_man#n#10467639,
heat_of_dissociation#n#11491021,
indispensability#n#5179018,
hydrogel#n#14614865,гели
present_progressive#n#13828186,
anastrophe#n#7115806,анастрофа
stick#v#1617330,трость,ткнуть
folliculitis#n#14369595,фолликулит
parr#n#2516358,парр
whisker#n#1904469,вибриссы
Alligatoridae#n#1700785,Аллигаторовые
Klansman#n#10257373,Ку-клукс-клан
bullocks_heart#n#11715335,кремовое яблоко
push#v#768022,толкать,нажимать,рекламировать
be_well#v#65266,
auricle#n#5331437,
bog_aster#n#11956422,
cold_war#n#14005485,холодная война
abutment#n#8638338,
price#n#7181692,цена
volleyball#n#4547339,волейбол
achromatin#n#5443957,
Shingon#n#6252367,Сингон
skank#v#2052535,
barrage#n#989949,
power_broker#n#10481783,
bed#n#2822609,кровать
Raskolnikov#n#10527376,Родион Раскольников
wash_up#v#424210,
mastering#n#912554,
neritic_zone#n#9391936,неритическая зона
yellow_birch#n#12302305,
Elamite#n#9661694,Эламский язык
county_council#n#8374456,
harvestman#n#1772722,сенокосцы
Fucaceae#n#1406770,
tesseract#n#13939960,тессеракт
Washingtonian#n#9765520,
Fistulariidae#n#1456901,
extract#v#640385,настаивать,добывать
immunogenicity#n#14551032,иммуногенность
purchase#n#13274511,открытый конкурс
caper_tree#n#11885898,
hold#v#2689312,
terminal#n#4420286,терминал
access#n#2673692,access
suprematism#n#8483021,супрематизм
crabbiness#n#4649057,
retroversion#n#14555200,антеверсия
slight#v#619103,пренебрегать
loan_collection#n#7972455,
Sunderland#n#8900940,Сандерленд
brewpub#n#2900672,ремесленное пивоварение
weir#n#4578972,
loser#n#10292479,
hidden_tax#n#13335107,
welcome_wagon#n#4579086,
carpet_moth#n#2295344,
tiger_cat#n#2125811,онцилла
pepper_shaker#n#3920557,солонка (утварь)
latter#n#13868905,
base_rate#n#13340748,
literalism#n#5973189,
delusion#n#756110,делюзия
nosebleed#n#14394397,носовое кровотечение
hypocellularity#n#14085185,
lather#n#10267497,
Chiococca#n#12682984,
kink#n#10256539,
iron_disulfide#n#14947475,пирит
genus_Erythrina#n#12548074,
toxic_waste#n#14882788,
soapstone#n#15068894,талькохлорит
noria#n#3835494,нория
angle#n#13910202,угол
weak_point#n#5166989,
short_account#n#6654467,
ironing#n#582127,глаженье
drop#v#549696,упасть,падать,оставлять,оставить,сбросить,сбрасывать
vacation#v#2714581,
adesite#n#14956360,
addressing_machine#n#2682815,
plantain#n#12373507,плантан
footpad#n#10121899,
evisceration#n#674821,
common_touch#n#4938744,
divan#n#8328778,диван (ведомство)
keratinize#v#577761,
circumambulate#v#1915225,
tarantism#n#14119224,
Auriculariaceae#n#13082872,Аурикуляриевые
Andrew#n#10837692,
tree_farm#n#9484300,
blankness#n#14478885,
tropic_bird#n#2057761,
leading_edge#n#3657065,
Ostracoda#n#2000352,Ракушковые
rivet#n#4102436,заклёпка
xerox#n#4616593,xerox
pitcher#n#724235,питчер
swivel_chair#n#4380791,
break_in#v#202933,
Bodo-Garo#n#6946466,
madder#v#286353,
vessel#n#4537861,сосуд
gag#v#77211,
rauwolfia#n#11795809,раувольфия
clock_pendulum#n#3050787,
gazetteer#n#10142302,географический справочник
malodorousness#n#4987905,
bypass_condenser#n#2933723,
assessment#n#5153302,
beat#n#5066044,beat
present_perfect#n#13828616,
indication#n#7245708,индикация
plodding#n#292809,
marzipan#n#7623854,марципан
commelina#n#12627199,коммелина
hang#n#437279,
Helicidae#n#1946858,Гелициды
clinical_thermometer#n#3047408,
bulge#v#257255,
preemptor#n#10484436,
Assumption#n#7372466,
find#v#2025505,признать,признавать
exponential#a#2976819,
writing_desk#n#4615687,
exception#n#5829606,исключение
adulteress#n#9792353,супружеская измена
megohm#n#13668715,ом
privilege#n#5187094,
tweet#v#2182105,
disabled#n#7962874,инвалидность
tumble#v#434022,грохнуться
internal_rhyme#n#7111661,
Conium#n#12956217,Болиголов
beneficiate#v#578247,
mikado#n#10334875,микадо
Whitehorse#n#8849874,Белая лошадь
fixation#n#1262862,
brunet#a#245359,
Diodontidae#n#2657985,Ежи-рыбы
drop_out#v#2388316,
law_of_the_land#n#8471456,
hand_pump#n#3492969,
take_orders#v#2391408,
epileptic#a#2956997,
venesect#v#83860,
Xanthophyceae#n#1403413,Жёлто-зелёные водоросли
transsexual#n#10745529,транссексуальность
dieter#n#10032031,
loggerhead#n#1666706,
rescript#n#6759060,рескрипт
rifle_range#n#8649520,тир (стрельбище)
cornhusking#n#1267564,
rushlight#n#4128322,лучина
red_flag#n#7280324,
contestee#n#9635161,
impreciseness#n#4812015,
perception#n#5717967,восприятие
fawn#v#882499,
tenant#n#10720289,
wrong#v#2519655,
Chicano#n#9742231,Чикано
Day#n#10945524,ru:сутки
rhythm#n#7100515,ритм
Stalinist#n#10665764,Сталинизм
radome#n#4052335,радом (устройство)
watcher#n#10789450,
unpointedness#n#5078895,
waning#a#2545162,
gay_liberation_movement#n#802318,освободительное движение геев и лесбиянок
coo#n#7395929,
metaphase#n#13536352,
chasteness#n#4704790,
protoarcheology#n#6155858,
stream#v#2074394,развеваться
accessory_cephalic_vein#n#5363990,
hydroxybenzoic_acid#n#14638317,
freeze#v#376536,заморозить,морозить,замерзать,замёрзнуть
oil_cartel#n#8254620,
keep#v#2207710,кормить,оставлять,оставить,занять,занимать
gamble#v#1140949,
care_for#v#1832565,
traffic_pattern#n#8509757,
deflector#n#3176704,
hexadecimal_digit#n#13764043,шестнадцатеричная система счисления
coinsure#v#2256439,
Anglican#a#2966005,
myrmecophyte#n#13199954,мирмекофиты
choreograph#v#1712176,
let#v#773535,давать,дать,пусть
low_comedy#n#7029656,
catch#v#2122438,ловить
yobibit#n#13654067,
Bombax#n#12209810,
panty_girdle#n#3891485,
attaint#v#2153931,
name_day#n#15246514,именины
substantia_nigra#n#5507657,чёрная субстанция
prostatitis#n#14377867,простатит
gas_heat#n#3428297,
superscribe#v#1695991,
Andropogon#n#12128766,Бородач (растение)
abecedarian#n#9775119,
truncate#v#742295,
Charina#n#1744951,Резиновые змеи
riding_school#n#8301291,
rain#n#5052359,дождь
soapberry#n#12761982,
disjoin#v#1296785,разъединять
bill_of_entry#n#6498887,
domestication#n#13490157,одомашнивание
chorale#n#7050074,хорал
lift#n#3669840,lift
vindictiveness#n#7566357,
power_couple#n#8005525,
strapless#n#4341243,без бретелек
embower#v#1392864,
scenarist#n#10575364,сценарист
thermotherapy#n#708790,
headshake#n#335537,
stage_left#n#8643259,
hyperope#n#10214675,
curvilinear_correlation#n#6041187,
clamp_down#v#419874,
ADA-SCID#n#14152705,
hypochondriac#n#10215106,ипохондрия
stockpot#n#4331435,
undercut#n#388334,
rice_paper#n#15000431,рисовая бумага
chronicler#n#9940626,
table_saw#n#4388003,
soundman#n#10646919,
indirect_tax#n#13334921,косвенный налог
superconducting_supercollider#n#4365343,
myringectomy#n#689810,
one-thirty-second#n#13760845,
guilt_by_association#n#14015001,
home#n#8507209,
estradiol_patch#n#3303299,
Indo-European#a#3085993,индоевропейский
cathexis#n#9208509,катексис
beach_wagon#n#2817668,
unfold#v#2148564,
garnishee#n#10140801,
relay#n#8001975,реле
smuttiness#n#14522556,
parcellation#n#386972,
charter#v#2452557,
board_of_trustees#n#8340755,совет директоров
pachyderm#n#2455739,
klaxon#n#3627267,клаксон
perimysium#n#5303626,
polonaise#n#3985173,полонез
militarist#n#10335671,милитаризм
mangel-wurzel#n#11853368,свёкла кормовая
active#a#42258,действительный,боевой,активный
eliminator#n#9295374,
forestiera#n#12323082,
scullion#n#10585379,
picker#n#10451389,
whelk#n#7798780,
roll_call#n#1013825,перекличка
delivery#n#7335222,
trojan#n#6597728,троян
star#v#1724857,знаменитость
metencephalon#n#5489649,задний мозг
quarter#n#8645494,квартал
ripcord#n#4101009,
towpath#n#4468805,бечевник
Chaetodontidae#n#2607769,Щетинозубые
windage#n#5018615,
qualification#n#201412,квалификация
third_rail#n#4433319,контактный рельс
rat#v#1529923,
detection#n#151907,
varsity#n#8097529,
scoop_shot#n#112892,
autograph#n#6418737,автограф (рукопись)
customs_union#n#8322498,таможенный союз
excerpt#n#6412153,
reassess#v#684700,
Cage#n#10898282,Кейдж
cul#n#3151115,
nation#n#8320622,нация
lechery#n#858362,
special_session#n#7162610,
grant#n#5184004,грант
Namibian#a#3100296,
Munda#n#6949600,Мунда
lever_hang#n#437757,
Cameroonian#n#9715852,
helm#v#1936453,
regression_coefficient#n#6038096,линейная регрессия
giro#n#13403939,расчётный счёт
caucus#v#2434529,
shill#v#2581611,
recite#v#1707313,декламировать
condonation#n#1229840,
Pengo#n#6993745,
nominative#n#6322150,именительный падеж
abocclusion#n#14077447,патологический прикус
red_snapper#n#7813333,
retain#v#2288169,
longbow#n#3693254,английский длинный лук
electronic_fetal_monitor#n#3283825,
phycomycosis#n#14205814,
fusion#n#13506970,фьюжн
coffee_can#n#3066988,
miniature_poodle#n#2116364,пудель
jamais_vu#n#5692644,жамевю
rancidness#n#4999609,
guimpe#n#3472312,
cosmetic_dentistry#n#6057454,
continence#n#4890008,
neck_brace#n#3820179,
promenade#n#541932,эспланада
text#n#7187208,
orthodoxy#n#6221546,ортодоксия
gusset#n#3476313,шпилька,булавка,заколка,подковырка
flare_out#v#305033,
impair#v#263767,
oppose#v#2672590,
aquaplane#v#1960371,
stamp_dealer#n#10666798,филателистический дилер
precook#v#1669731,
adobe_lily#n#12474219,
given#n#5901963,
Cycnoches#n#12075371,Цикнохес
ophthalmectomy#n#688079,
budget#n#13442635,бюджет
friendly_takeover#n#792608,поглощение
abreact#v#1819438,
huntress#n#10213269,
precipitate#v#1975764,
crown_glass#n#14904708,
cattle_guard#n#2989615,
cardiac_monitor#n#2966374,
inga#n#11782119,инга (растение)
make_peace#v#1095998,
obsolesce#v#568852,
frontage#n#5131200,
zoolatry#n#1048365,зоолатрия
rampage#v#2590991,
goose#v#1459708,
see_through#v#486078,
affusion#n#1040179,
single_crochet#n#4229661,
reading_assignment#n#731432,
Churchill_Downs#n#3032590,
break_in#v#348458,
discount_business#n#1103019,
backpack#v#1929984,
gelechiid#n#2296004,
living_will#n#6556832,
sleigh_bell#n#4244041,бубенец
fish_glue#n#14727727,костный клей
brainwashing#n#890638,контроль сознания
liberation_theology#n#6194468,теология освобождения
hypovolemia#n#14218594,гиповолемия
shadow_cabinet#n#8399028,теневой кабинет
coriander#n#7833441,кориандр
hip#n#12641307,тазобедренный сустав
ethicism#n#5970296,этика
nudge#n#113817,
drill#v#605376,сеять
wateriness#n#4944604,
inconvenience#n#4729991,
governor_general#n#10160117,генерал-губернатор
least_squares#n#6030362,метод наименьших квадратов
depressive#n#10024825,
busbar#n#2928097,шина (энергосистема)
slave_market#n#4242075,рабство
number_theorist#n#10385975,теория чисел
kinkajou#n#2511828,кинкажу
quotability#n#4814741,
analysis_of_variance#n#6040131,дисперсионный анализ
twist_bit#n#4510888,
table_lamp#n#4387620,светильник
flight_surgeon#n#10116277,
scaliness#n#4955780,
sideboard#n#4221113,буфет (мебель)
leptomeninges#n#5489980,мозговые оболочки
commercial_credit#n#13400792,
object#n#5818974,объект
horizon#n#8603373,горизонт
reamer#n#4066511,развёртка (инструмент)
screen_door#n#4160108,
asterid_dicot_family#n#11586681,
holdout#n#782120,
project#v#1438648,
crack#v#2187470,ломаться
webworm#n#2310791,американская белая бабочка
looseness#n#4784660,loose
doublespeak#n#6774193,
vouchsafe#v#2260523,
intrigue#v#2684649,
estazolam#n#3303158,
creole#n#6918134,
actinia#n#1917471,
pervert#n#10438792,извращение
chiralgia#n#14349385,
jus_sanguinis#n#5965773,jus sanguinis
scuba_diving#n#445831,дайвинг
smolder#v#1776620,
anchovy_pear#n#12348045,
conventionalization#n#1162451,
betroth#v#888123,
residency#n#600179,
Pergamum#n#9064926,Пергам
captain#n#9912283,капитан
hemiplegic#n#10190538,гемиплегия
stone_crab#n#7804706,
anomaly#n#9629719,аномалия
roll#v#1528927,
fortnight#n#15195378,фортнайт
wailer#n#10782913,
justification#n#6752932,оправдание
dysphemism#n#6617749,дисфемизм
live_out#v#1179802,
reek#v#2774078,
medullary#a#2771592,
green#n#8597308,зелёный цвет
mechanical_mixture#n#14613166,
orange_mushroom_pimple#n#12986953,
Cyclops#n#9513702,Киклопы
stipple#v#1685107,
consummate#v#1645174,
gnosis#n#5715977,гнозис
drumstick#n#3255550,
bowling_score#n#187905,
chemical_equilibrium#n#13467370,химическое равновесие
telophase#n#13587244,
calcine#v#372904,
alias#n#6349528,alias
sublease#n#13269827,
hood#n#9328264,худ
thumbtack#n#4438879,канцелярская кнопка
dragonet#n#2621457,лировые
space_age#n#15287605,
rove_beetle#n#2183527,стафилиниды
snipefish#n#1459723,
melanosis#n#14253565,
bearded_wheatgrass#n#12126345,
choose_up#v#2453507,
tumbler#n#4504167,
garter#n#3426027,
allusiveness#n#4926635,аллюзия
garage#n#3421550,гараж
tree_house#n#4485201,дом на дереве
lawrencium#n#14667501,лоуренсий
ditto#v#961059,
redefinition#n#6758323,
parley#v#765054,
mandate#n#8615283,мандат
break#v#2565221,ломаться,ломаться,разъединять,колоть,разбить,разбить,разбить,разбивать,разбивать,разбивать
gait#n#287341,ходьба
digestive_gland#n#5540428,
Filicales#n#13190572,Многоножковые (порядок)
permissibility#n#4800440,
1840s#n#15174522,1840-е годы
bergenia#n#12816782,бадан
Sorbus#n#12678701,Рябина
head#n#3506432,голова
evening_grosbeak#n#1543207,вечерний американский дубонос
ridge#n#4096264,кряж
line_up#v#2710073,
lycanthropy#n#5208451,волколак
goldbrick#n#10155666,
scaly_lentinus#n#13022969,
singlestick#n#4230245,
life_cycle#n#13529030,жизненный цикл
rolling#n#785416,вальцовка
ribonuclease#n#14856216,рибонуклеазы
shock#n#7443876,
glycosuria#n#14291343,гликозурия
tribune#n#4488511,трибун
noiselessness#n#4990262,
chamois_cress#n#11914385,
distortion#n#11532198,искажения сигнала
drive-in#n#3248204,
viola_da_braccio#n#4543760,
brand-name_drug#n#2894807,
direct_mailer#n#8078928,
core#n#3112367,
Holcus#n#12143098,Бухарник
give_the_glad_eye#v#2168617,
speechlessness#n#4989994,
exotherm#n#14908105,
progressive_aspect#n#13827548,
root_cap#n#13147187,корневой чехлик
angiopathy#n#14094901,ангиопатия
string#v#1363274,
kickoff#n#7344168,
adrenalectomy#n#667350,адреналэктомия
extramarital_sex#n#849912,
olla_podrida#n#7605538,олья подрида
Luftwaffe#n#8212169,Люфтваффе
savarin#n#7649569,
queen_of_the_night#n#11874448,
dissociation_constant#n#13611160,константа диссоциации
sweet_unicorn_plant#n#12896621,
make_out#v#933047,
overprice#v#2356374,
foul_out#v#1407428,
tonsure#n#5547350,пострижение
suburbia#n#8305898,пригород
epidemiologist#n#10081690,эпидемиология
crack_up#v#862997,
crash#v#1564601,грохнуться,разбить,разбивать
reecho#v#2188840,
agrimonia#n#12643636,репешок
surcharge#v#1491343,
definition#n#4710305,определение (логика)
miotic_drug#n#3778414,
gift_wrapping#n#3441459,
developmental_anatomy#n#6069090,органогенез
purse#n#13434332,
FTP#v#2238134,
swallow#v#603054,
disputant#n#9638495,
Dactylopiidae#n#2252647,
cantor#n#9911316,
eisegesis#n#7186436,
bazaar#n#2816780,базар
hang#v#1484587,висеть,вешать,вешать
acariasis#n#14476532,акариазы
Victorian#n#10772729,
motif#n#7043169,мотив
correction#n#13778097,
sic#v#1117424,
layer#n#1465900,слой
cockfighting#n#453138,петушиные бои
overachieve#v#2568150,
high_brass#n#14931424,
inamorata#n#10221704,inamorata
snap_back#v#92772,
alloy#n#14610949,сплав
shop_steward#n#10612219,
superscription#n#616623,псалтирь
ruddle#v#536650,
livingroom_suite#n#8024379,
Hibbertia#n#12384097,
rental#n#1113280,аренда
border_patrol#n#8345803,пограничные войска
papulovesicle#n#14357416,
piggyback#v#1604855,
paperhanger#n#10416700,
true_toad#n#1648417,жабы
mosquito_bite#n#14311406,комары
voiceprint#n#6658785,
vault#n#121335,
antic#n#428583,
equivocation#n#4832614,
have_a_go#v#2536436,
pursuit#n#5778388,
microcephaly#n#14532901,микроцефалия
propane#n#14715847,пропан
recruit#v#2245101,
red_silk_cotton#n#14950083,
famine#n#7330390,массовый голод
sialadenitis#n#14379130,психогигиена
sort_program#n#6592279,
third#n#6872554,third
capriciousness#n#4742315,
griot#n#10166872,гриот
motorcyclist#n#10353722,
quadrature#n#875349,квадратура
bluefish#n#7801759,луфарь
tenement_district#n#8572980,
harpoon#v#1142941,
elution#n#13495039,
rack#v#1802689,переусложнять
disagreement#n#7195447,спор
Geordie#n#9723679,
drum#v#2179274,
polycythemia#n#14220797,
lighting#n#609913,иллюминация
dovishness#n#6231430,
encapsulation#n#13495698,инкапсуляция
trawler#n#4483351,
lap#v#1173263,
falconer#n#10096384,фальконер
medallion#n#6896510,медаль
sour#v#459426,
gutter#v#2089126,
indenture#v#887090,
arenaceous_rock#n#14721646,
library#n#7994015,библиотека
northern_red_oak#n#12298317,дуб красный
rummage#v#1321709,шарить
beebread#n#14798251,
tiger_cat#n#2129117,онцилла
hydrofoil#n#3558199,судно на подводных крыльях
aortic_orifice#n#5253432,
open_sesame#n#180124,
aerial_torpedo#n#2685665,
humiliation#n#14463954,унижение
boot#v#98100,
tetrasporangium#n#13114034,
smacker#n#134695,smacker
take_kindly_to#v#2725121,
ancient_history#n#5620314,древний мир
Joel#n#6451078,Иоиль
penuriousness#n#4841570,
director#n#10035230,
misanthropy#n#7562232,мизантропия
discrimination#n#5755999,дискриминация
organization_expense#n#13298515,
Mysidae#n#1991738,
monocline#n#9380344,
mulct#v#2312392,
analysis#n#6023392,
complex_instruction_set_computing#n#4939738,cisc
frown_line#n#13929683,
writer#n#10820913,писатель
bushmans_poison#n#11789285,
dope#v#558099,
Pomaderris#n#13164707,
channel#n#3010002,чаннел
neuropsychiatry#n#6062632,
smoke_hole#n#4253761,
zombi#n#10825242,
block_grant#n#88974,
Campylorhynchus#n#1588811,Кактусовые крапивники
frog_legs#n#7884660,лягушачьи лапки
James#n#11098972,Джеймс
move#v#124250,двигать,перемещать,растрогать
rip#v#2102319,
bounty_hunter#n#9888723,охотник за головами
monsoon#n#11505141,муссон
solicitation#n#161864,
bland_diet#n#7577582,
equation#n#186156,уравнение
lasiocampid#n#2309085,
spotweld#v#1598977,
set#v#1715608,править,ставить,поставить,фиксировать,привести,приводить
nota_bene#n#6777091,nota bene
winter_melon#n#12185398,восковая тыква
nonpartisan#a#734736,
pillow_fight#n#488239,бой подушками
buckle#v#1281789,
quick#n#5605735,куик
submarine_ball#n#110591,
Pleione#n#12099455,Плейона
Guy#n#3477097,
choking#n#14081734,
barber#n#9858283,
backgammon_board#n#2771978,
devisal#n#942525,
abortion_pill#n#2670723,медикаментозный аборт
West_Bengal#n#8926045,Западная Бенгалия
compression#n#7327841,сжатие
bottle_bill#n#6549553,
damn#n#5148040,
marocain#n#3728435,
electronic_database#n#6600792,iblist
hypocrisy#n#6772787,лицемерие
habit#n#3479290,габитус (социология)
relief#n#1077491,рельеф (скульптура)
confront#v#2748513,
Planera#n#12430537,Планера водная
parentage#n#13835977,родители
ritualist#n#10552308,ритуализм
periodontist#n#10436312,пародонтология
chatter#v#1039175,стучать
chimneystack#n#3021712,дымовая труба
partner#n#10422162,партнёр
shiftlessness#n#4644928,
runcible_spoon#n#4126724,
tumbleweed#n#12575416,перекати-поле
Tragelaphus#n#2426433,Лесные антилопы
blue-headed_vireo#n#1605793,
syndicator#n#10706521,
synergist#n#4383346,агонист (мышца)
iodopsin#n#15113236,йодопсин
radial_asymmetry#n#5073659,
caller#n#9907469,
hornpipe#n#7069760,хорнпайп
liposome#n#5527943,липосома
acceptance#n#13955454,
carefulness#n#4670851,
destabilization#n#1161948,
bodywork#n#2866766,
cautery#n#2990502,
subalpine_larch#n#11640138,лиственница лайэля
pole_horse#n#2390104,
pentode#n#3919462,пентод
pole_horse#n#2391105,
dovetail_plane#n#3233818,
manageress#n#10309123,
corner_kick#n#138529,угловой удар (футбол)
softness#n#4997999,
hereditarianism#n#5980780,
majority_rule#n#5973312,
dissolve#v#1788618,разводить,развести
Agrippa#n#10829461,Агриппа
Arapaho#n#9669955,Арапахо (народ)
bialy#n#7708262,
Agonidae#n#2650133,Морские лисички
penitent#a#1747466,
camber#n#1003286,
obscure#v#314513,
hit_list#n#6503552,
lally#n#3640190,
turn_thumbs_down#v#2467453,
stevia#n#12040296,стевия
slide#n#329328,
concentricity#n#5080892,
flame#v#826282,
backgrounder#n#7159279,
water_nymph#n#9573254,наяды
concuss#v#1894503,
human_reproductive_cloning#n#639845,
technical_sergeant#n#10715597,
croupier#n#10000515,крупье
sharing#n#1087717,бартерная биржа
sexual_love#n#848145,секс
little_blue_heron#n#2011883,малая голубая цапля
amortization#n#1125259,амортизация
unpretentiousness#n#4794382,
sleeper#n#2622491,
global_aphasia#n#14121829,
punch_line#n#6791616,
pants_suit#n#3891366,
aeschynanthus#n#12851328,эсхинантус
shock#v#1388962,шокировать
line#v#455090,путь,часть
bee_eater#n#1831611,щурковые
plumb#v#732632,
military_ceremony#n#7467673,
pull_in#v#2019236,
direct_loan#n#13420552,заём
lithograph#v#1753202,
shiv#n#4205765,
reconciliation#n#185953,
immersion#n#1040517,иммерсия
maildrop#n#3715960,
rachis#n#13149735,
landgrave#n#10264726,ландграф (титул)
granulation#n#14261300,
run-on#a#876810,
architeuthis#n#1974772,
prepuberty#n#15173041,
genus_Iva#n#12005323,
fuse#v#397903,
filicide#n#223022,
computerized_axial_tomography_scanner#n#3088876,
turn_out#v#1626829,
prepuce#n#5534590,
take_pains#v#2536754,
lunching#n#842958,
convert#v#385082,
sex_symbol#n#10604529,секс-символ
just-noticeable_difference#n#5721048,порог различения
brush_turkey#n#1804517,
goldenbush#n#11996639,
counterreformation#n#14447788,контрреформация
trust_company#n#8441179,
interplanetary_dust#n#9337169,космическая пыль
covered_bridge#n#3126724,крытый мост
